Категория,Подкатегория,"Наименование (марка, ширина, размеры, полка, диаметр)","Хар-ка (размер, диаметр, толщина, стенка, ширина, длина, полка)",Единица измерения,Цена
Качественные стали,СТАЛЬ СОРТ КОНСТР КРУГ,20Х,230 | 240| 250,т,115814
Качественные стали,СТАЛЬ СОРТ КОНСТР КРУГ,20Х,260 | 270| 280| 300,т,123942
Качественные стали,СТАЛЬ СОРТ КОНСТР КРУГ,30ХГСА,16 | 20| 22| 25,т,88382
Качественные стали,СТАЛЬ СОРТ КОНСТР КРУГ,30ХГСА,32 | 36| 40| 45| 50| 56| 60| 65| 70| 75| 80| 90| 95| 100| 110| 120,т,77206
Качественные стали,СТАЛЬ СОРТ КОНСТР КРУГ,30ХГСА,130 | 140| 150| 160,т,78222
Качественные стали,СТАЛЬ СОРТ КОНСТР КРУГ,30ХГСА,170 | 180,т,89398
Качественные стали,СТАЛЬ СОРТ КОНСТР КРУГ,30ХГСА,190 | 200| 210| 220,т,94478
Качественные стали,СТАЛЬ СОРТ КОНСТР КРУГ,30ХГСА,230 | 240| 250,т,121910
Качественные стали,СТАЛЬ СОРТ КОНСТР КРУГ,30ХГСА,260 | 270| 280| 300,т,130038
Качественные стали,СТАЛЬ СОРТ КОНСТР КРУГ,38Х2МЮА,50 | 60| 70| 80| 90| 100| 110| 120,т,118862
Качественные стали,СТАЛЬ СОРТ КОНСТР КРУГ,38Х2МЮА,140 | 150| 160| 170| 180| 190| 200| 210| 220,т,124958
Качественные стали,СТАЛЬ СОРТ КОНСТР КРУГ,38Х2МЮА,230 | 240| 250,т,149342
Качественные стали,СТАЛЬ СОРТ КОНСТР КРУГ,40Х,12,т,84318
Качественные стали,СТАЛЬ СОРТ КОНСТР КРУГ,40Х,14 | 16| 18| 22| 24,т,83302
Качественные стали,СТАЛЬ СОРТ КОНСТР КРУГ,40Х,25,т,93462
Качественные стали,СТАЛЬ СОРТ КОНСТР КРУГ,40Х,26 | 28| 30,т,83302
Качественные стали,СТАЛЬ СОРТ КОНСТР КРУГ,40Х,32 | 34| 35| 36| 38| 40| 42| 45| 48| 50| 52| 56| 60| 65| 70| 75| 80| 85| 90| 95| 100| 105| 110| 115| 120,т,73142
Качественные стали,СТАЛЬ СОРТ КОНСТР КРУГ,40Х,130 | 140| 150| 160| 170| 180,т,74158
Качественные стали,СТАЛЬ СОРТ КОНСТР КРУГ,40Х,190 | 200| 210| 220,т,81270
Качественные стали,СТАЛЬ СОРТ КОНСТР КРУГ,40Х,230 | 240| 250,т,115814
Качественные стали,СТАЛЬ СОРТ КОНСТР КРУГ,40Х,260 | 270| 280| 290| 300,т,123942
Качественные стали,СТАЛЬ СОРТ КОНСТР КРУГ,Ст20,10 | 12,т,82286
Качественные стали,СТАЛЬ СОРТ КОНСТР КРУГ,Ст20,14 | 16| 18| 20| 22| 24| 25| 26| 28| 30,т,81270
